datetime,room,occupied,hour,weekday,is_weekend,occupied_previous,occupied_1hr_ago,occupied_yesterday,occupied_last_week
2025-12-08 07:00:00,1401,0,7,0,0,,,,
2025-12-08 07:15:00,1401,0,7,0,0,0.0,,,
2025-12-08 07:30:00,1401,0,7,0,0,0.0,,,
2025-12-08 07:45:00,1401,0,7,0,0,0.0,,,
2025-12-08 08:00:00,1401,0,8,0,0,0.0,0.0,,
2025-12-08 08:15:00,1401,0,8,0,0,0.0,0.0,,
2025-12-08 08:30:00,1401,0,8,0,0,0.0,0.0,,
2025-12-08 08:45:00,1401,0,8,0,0,0.0,0.0,,
2025-12-08 09:00:00,1401,0,9,0,0,0.0,0.0,,
2025-12-08 09:15:00,1401,0,9,0,0,0.0,0.0,,
2025-12-08 09:30:00,1401,0,9,0,0,0.0,0.0,,
2025-12-08 09:45:00,1401,0,9,0,0,0.0,0.0,,
2025-12-08 10:00:00,1401,1,10,0,0,0.0,0.0,,
2025-12-08 10:15:00,1401,0,10,0,0,1.0,0.0,,
2025-12-08 10:30:00,1401,0,10,0,0,0.0,0.0,,
2025-12-08 10:45:00,1401,1,10,0,0,0.0,0.0,,
2025-12-08 11:00:00,1401,1,11,0,0,1.0,1.0,,
2025-12-08 11:15:00,1401,1,11,0,0,1.0,0.0,,
2025-12-08 11:30:00,1401,1,11,0,0,1.0,0.0,,
2025-12-08 11:45:00,1401,1,11,0,0,1.0,1.0,,
2025-12-08 12:00:00,1401,1,12,0,0,1.0,1.0,,
2025-12-08 12:15:00,1401,1,12,0,0,1.0,1.0,,
2025-12-08 12:30:00,1401,1,12,0,0,1.0,1.0,,
2025-12-08 12:45:00,1401,1,12,0,0,1.0,1.0,,
2025-12-08 13:00:00,1401,1,13,0,0,1.0,1.0,,
2025-12-08 13:15:00,1401,1,13,0,0,1.0,1.0,,
2025-12-08 13:30:00,1401,0,13,0,0,1.0,1.0,,
2025-12-08 13:45:00,1401,0,13,0,0,0.0,1.0,,
2025-12-08 14:00:00,1401,0,14,0,0,0.0,1.0,,
2025-12-08 14:15:00,1401,1,14,0,0,0.0,1.0,,
2025-12-08 14:30:00,1401,1,14,0,0,1.0,0.0,,
2025-12-08 14:45:00,1401,1,14,0,0,1.0,0.0,,
2025-12-08 15:00:00,1401,1,15,0,0,1.0,0.0,,
2025-12-08 15:15:00,1401,0,15,0,0,1.0,1.0,,
2025-12-08 15:30:00,1401,1,15,0,0,0.0,1.0,,
2025-12-08 15:45:00,1401,1,15,0,0,1.0,1.0,,
2025-12-08 16:00:00,1401,1,16,0,0,1.0,1.0,,
2025-12-08 16:15:00,1401,1,16,0,0,1.0,0.0,,
2025-12-08 16:30:00,1401,1,16,0,0,1.0,1.0,,
2025-12-08 16:45:00,1401,1,16,0,0,1.0,1.0,,
2025-12-08 17:00:00,1401,1,17,0,0,1.0,1.0,,
2025-12-08 17:15:00,1401,1,17,0,0,1.0,1.0,,
2025-12-08 17:30:00,1401,0,17,0,0,1.0,1.0,,
2025-12-08 17:45:00,1401,0,17,0,0,0.0,1.0,,
2025-12-08 18:00:00,1401,0,18,0,0,0.0,1.0,,
2025-12-08 18:15:00,1401,0,18,0,0,0.0,1.0,,
2025-12-08 18:30:00,1401,0,18,0,0,0.0,0.0,,
2025-12-08 18:45:00,1401,0,18,0,0,0.0,0.0,,
2025-12-08 19:00:00,1401,0,19,0,0,0.0,0.0,,
2025-12-08 19:15:00,1401,0,19,0,0,0.0,0.0,,
2025-12-08 19:30:00,1401,0,19,0,0,0.0,0.0,,
2025-12-08 19:45:00,1401,0,19,0,0,0.0,0.0,,
2025-12-08 20:00:00,1401,0,20,0,0,0.0,0.0,,
2025-12-08 20:15:00,1401,0,20,0,0,0.0,0.0,,
2025-12-08 20:30:00,1401,0,20,0,0,0.0,0.0,,
2025-12-08 20:45:00,1401,0,20,0,0,0.0,0.0,,
2025-12-08 21:00:00,1401,0,21,0,0,0.0,0.0,,
2025-12-08 21:15:00,1401,0,21,0,0,0.0,0.0,,
2025-12-08 21:30:00,1401,0,21,0,0,0.0,0.0,,
2025-12-08 21:45:00,1401,0,21,0,0,0.0,0.0,,
2025-12-08 22:00:00,1401,0,22,0,0,0.0,0.0,,
2025-12-08 22:15:00,1401,0,22,0,0,0.0,0.0,,
2025-12-08 22:30:00,1401,0,22,0,0,0.0,0.0,,
2025-12-08 22:45:00,1401,0,22,0,0,0.0,0.0,,
2025-12-08 23:00:00,1401,0,23,0,0,0.0,0.0,,
2025-12-09 07:00:00,1401,0,7,1,0,,,0.0,
2025-12-09 07:15:00,1401,0,7,1,0,0.0,,0.0,
